"","layer","level","class","id","metric","value","plot_id","percentage_inside"
"46",1,"class",33,NA,"pland",99.5913850344769,189,66.1597485372871
"47",1,"class",6,NA,"pland",0.418542209586986,228,71.3228061023503
"48",1,"class",33,NA,"pland",99.581457790413,228,71.3228061023503
"49",1,"class",6,NA,"pland",2.40704317692236,259,60.1701295593336
"50",1,"class",11,NA,"pland",0.468296337922637,259,60.1701295593336
"51",1,"class",12,NA,"pland",1.98557647279198,259,60.1701295593336
"52",1,"class",15,NA,"pland",1.22693640535731,259,60.1701295593336
"53",1,"class",19,NA,"pland",0.0187318535169055,259,60.1701295593336
"54",1,"class",22,NA,"pland",0.0561955605507165,259,60.1701295593336
"55",1,"class",33,NA,"pland",93.8372201929381,259,60.1701295593336
"56",1,"class",6,NA,"pland",1.96336308125881,263,59.9745942650195
"57",1,"class",11,NA,"pland",0.356975105683419,263,59.9745942650195
"58",1,"class",12,NA,"pland",0.610615312353217,263,59.9745942650195
"59",1,"class",33,NA,"pland",96.3644903710662,263,59.9745942650195
"60",1,"class",41,NA,"pland",0.704556129638328,263,59.9745942650195
"61",1,"class",6,NA,"pland",0.415860735009671,269,58.2354474551515
"62",1,"class",33,NA,"pland",99.5067698259188,269,58.2354474551515
"63",1,"class",41,NA,"pland",0.0773694390715667,269,58.2354474551515
"64",1,"class",6,NA,"pland",1.09859417186482,301,60.5230364885244
"65",1,"class",11,NA,"pland",0.512056605530211,301,60.5230364885244
"66",1,"class",12,NA,"pland",0.102411321106042,301,60.5230364885244
"67",1,"class",15,NA,"pland",0.167582161809887,301,60.5230364885244
"68",1,"class",22,NA,"pland",0.0093101201005493,301,60.5230364885244
"69",1,"class",33,NA,"pland",98.016944418583,301,60.5230364885244
"70",1,"class",41,NA,"pland",0.093101201005493,301,60.5230364885244
"71",1,"class",6,NA,"pland",1.32586220503512,307,71.3720197804595
"72",1,"class",11,NA,"pland",0.49719832688817,307,71.3720197804595
"73",1,"class",12,NA,"pland",0.0394601846736643,307,71.3720197804595
"74",1,"class",19,NA,"pland",0.00789203693473286,307,71.3720197804595
"75",1,"class",22,NA,"pland",0.0236761108041986,307,71.3720197804595
"76",1,"class",33,NA,"pland",98.1059111356641,307,71.3720197804595
"77",1,"class",6,NA,"pland",1.13777259135001,338,77.2732550688758
"78",1,"class",11,NA,"pland",0.196922179272117,338,77.2732550688758
"79",1,"class",12,NA,"pland",0.335497046167311,338,77.2732550688758
"80",1,"class",15,NA,"pland",0.714754576617315,338,77.2732550688758
"81",1,"class",19,NA,"pland",0.0145868280942309,338,77.2732550688758
"82",1,"class",22,NA,"pland",0.0145868280942309,338,77.2732550688758
"83",1,"class",33,NA,"pland",97.5858799504048,338,77.2732550688758
"84",1,"class",6,NA,"pland",1.61557177615572,340,57.9009257815349
"85",1,"class",11,NA,"pland",0.253041362530414,340,57.9009257815349
"86",1,"class",12,NA,"pland",0.545012165450122,340,57.9009257815349
"87",1,"class",15,NA,"pland",0.194647201946472,340,57.9009257815349
"88",1,"class",19,NA,"pland",0.0097323600973236,340,57.9009257815349
"89",1,"class",22,NA,"pland",0.0194647201946472,340,57.9009257815349
"90",1,"class",33,NA,"pland",97.3625304136253,340,57.9009257815349
"91",1,"class",6,NA,"pland",0.35894806241301,381,76.9202097596337
"92",1,"class",12,NA,"pland",4.65899934070764,381,76.9202097596337
"93",1,"class",19,NA,"pland",0.01465094132298,381,76.9202097596337
"94",1,"class",22,NA,"pland",0.03662735330745,381,76.9202097596337
"95",1,"class",33,NA,"pland",94.9307743022489,381,76.9202097596337
"96",1,"class",6,NA,"pland",0.306591722023505,384,55.1259173801651
"97",1,"class",8,NA,"pland",0.0102197240674502,384,55.1259173801651
"98",1,"class",11,NA,"pland",0.163515585079203,384,55.1259173801651
"99",1,"class",12,NA,"pland",0.122636688809402,384,55.1259173801651
"100",1,"class",19,NA,"pland",0.0102197240674502,384,55.1259173801651
"101",1,"class",33,NA,"pland",99.386816555953,384,55.1259173801651
"102",1,"class",6,NA,"pland",1.09809663250366,387,76.942766328112
"103",1,"class",11,NA,"pland",0.292825768667643,387,76.942766328112
"104",1,"class",12,NA,"pland",0.505124450951684,387,76.942766328112
"105",1,"class",19,NA,"pland",0.00732064421669107,387,76.942766328112
"106",1,"class",22,NA,"pland",0.0219619326500732,387,76.942766328112
"107",1,"class",33,NA,"pland",98.0746705710102,387,76.942766328112
"108",1,"class",6,NA,"pland",0.866033108522379,422,73.5178166151944
"109",1,"class",11,NA,"pland",0.0153280196198651,422,73.5178166151944
"110",1,"class",19,NA,"pland",0.0229920294297977,422,73.5178166151944
"111",1,"class",33,NA,"pland",99.095646842428,422,73.5178166151944
"112",1,"class",6,NA,"pland",0.0951746454744456,468,59.179398884597
"113",1,"class",11,NA,"pland",1.1325782811459,468,59.179398884597
"114",1,"class",12,NA,"pland",0.0761397163795565,468,59.179398884597
"115",1,"class",19,NA,"pland",0.00951746454744456,468,59.179398884597
